ItemCode,ItemName,ds,y,inventario
ACEI-EIFFEL-NORM-0009,ACEITE HIDRAULICO 68 CUBETA EIFFEL (HYD AW 68),2024-09-01,0.0,0.0
ACEI-EIFFEL-NORM-0009,ACEITE HIDRAULICO 68 CUBETA EIFFEL (HYD AW 68),2024-10-01,0.0,0.0
ACEI-EIFFEL-NORM-0009,ACEITE HIDRAULICO 68 CUBETA EIFFEL (HYD AW 68),2024-11-01,0.0,0.0
ACEI-EIFFEL-NORM-0009,ACEITE HIDRAULICO 68 CUBETA EIFFEL (HYD AW 68),2024-12-01,0.0,0.0
ACEI-EIFFEL-NORM-0009,ACEITE HIDRAULICO 68 CUBETA EIFFEL (HYD AW 68),2025-01-01,0.0,0.0
ACEI-EIFFEL-NORM-0009,ACEITE HIDRAULICO 68 CUBETA EIFFEL (HYD AW 68),2025-02-01,0.0,50.0
ACEI-EIFFEL-NORM-0009,ACEITE HIDRAULICO 68 CUBETA EIFFEL (HYD AW 68),2025-03-01,0.0,50.0
ACEI-EIFFEL-SINT-0001,ACEITE 20W50 LTS GASOL.F/SINT/DURA MAX SILVER EIFFEL,2025-04-01,88.0,305.0
ACEI-EIFFEL-SINT-0001,ACEITE 20W50 LTS GASOL.F/SINT/DURA MAX SILVER EIFFEL,2025-05-01,132.0,173.0
ACEI-EIFFEL-SINT-0001,ACEITE 20W50 LTS GASOL.F/SINT/DURA MAX SILVER EIFFEL,2025-06-01,0.0,173.0
ACEI-EIFFEL-SINT-0001,ACEITE 20W50 LTS GASOL.F/SINT/DURA MAX SILVER EIFFEL,2024-07-01,0.0,586.0
ACEI-EIFFEL-SINT-0001,ACEITE 20W50 LTS GASOL.F/SINT/DURA MAX SILVER EIFFEL,2024-08-01,120.0,466.0
ACEI-EIFFEL-SINT-0001,ACEITE 20W50 LTS GASOL.F/SINT/DURA MAX SILVER EIFFEL,2024-09-01,0.0,467.0
ACEI-EIFFEL-SINT-0001,ACEITE 20W50 LTS GASOL.F/SINT/DURA MAX SILVER EIFFEL,2024-10-01,4.0,463.0
ACEI-EIFFEL-SINT-0001,ACEITE 20W50 LTS GASOL.F/SINT/DURA MAX SILVER EIFFEL,2024-11-01,0.0,463.0
ACEI-EIFFEL-SINT-0001,ACEITE 20W50 LTS GASOL.F/SINT/DURA MAX SILVER EIFFEL,2024-12-01,2.0,461.0
ACEI-EIFFEL-SINT-0001,ACEITE 20W50 LTS GASOL.F/SINT/DURA MAX SILVER EIFFEL,2025-01-01,37.0,424.0
ACEI-EIFFEL-SINT-0001,ACEITE 20W50 LTS GASOL.F/SINT/DURA MAX SILVER EIFFEL,2025-02-01,28.0,396.0
ACEI-EIFFEL-SINT-0001,ACEITE 20W50 LTS GASOL.F/SINT/DURA MAX SILVER EIFFEL,2025-03-01,0.0,396.0
ACEI-EIFFEL-SINT-0002,ACEITE 20W50 GARRAFA GASO.F/SINT.DURA MAX SILVER EIFFEL,2025-04-01,28.0,169.0
ACEI-EIFFEL-SINT-0002,ACEITE 20W50 GARRAFA GASO.F/SINT.DURA MAX SILVER EIFFEL,2025-05-01,45.0,124.0
ACEI-EIFFEL-SINT-0002,ACEITE 20W50 GARRAFA GASO.F/SINT.DURA MAX SILVER EIFFEL,2025-06-01,0.0,124.0
ACEI-EIFFEL-SINT-0002,ACEITE 20W50 GARRAFA GASO.F/SINT.DURA MAX SILVER EIFFEL,2024-07-01,-6.0,253.0
ACEI-EIFFEL-SINT-0002,ACEITE 20W50 GARRAFA GASO.F/SINT.DURA MAX SILVER EIFFEL,2024-08-01,19.0,234.0
ACEI-EIFFEL-SINT-0002,ACEITE 20W50 GARRAFA GASO.F/SINT.DURA MAX SILVER EIFFEL,2024-09-01,12.0,225.0
ACEI-EIFFEL-SINT-0002,ACEITE 20W50 GARRAFA GASO.F/SINT.DURA MAX SILVER EIFFEL,2024-10-01,0.0,225.0
ACEI-EIFFEL-SINT-0002,ACEITE 20W50 GARRAFA GASO.F/SINT.DURA MAX SILVER EIFFEL,2024-11-01,0.0,224.0
ACEI-EIFFEL-SINT-0002,ACEITE 20W50 GARRAFA GASO.F/SINT.DURA MAX SILVER EIFFEL,2024-12-01,7.0,217.0
