ItemCode,ds,yhat,q10,q50,q90
ACEI-EUROL-ATF-0005,2025-05,1.5433644,-0.34857196,1.6971569,4.1507483
ACEI-EUROL-ATF-0005,2025-06,1.1301209,-1.6010454,1.1132987,3.869989
ACEI-EUROL-ATF-0006,2025-04,3.812541,-1.6671451,5.051874,13.359969
ACEI-EUROL-ATF-0006,2025-05,6.1840763,-3.1410024,4.317177,13.535164
ACEI-EUROL-ATF-0006,2025-06,3.8070104,-4.223167,5.3277707,11.341546
ACEI-EUROL-ATF-0007,2025-04,-0.07065403,-0.17488372,-0.020962382,0.10300324
ACEI-EUROL-ATF-0007,2025-05,-0.0270924,-0.18714252,-0.024385532,0.11567913
ACEI-EUROL-ATF-0007,2025-06,-0.003314622,-0.114287354,-0.018541174,0.10414697
ACEI-EUROL-ATF-0008,2025-04,0.0067265076,-0.12195098,-0.011512967,0.15375856
ACEI-EUROL-ATF-0008,2025-05,-0.013547553,-0.114691906,-0.007445364,0.07473933
ACEI-EUROL-ATF-0008,2025-06,0.041069742,-0.12796886,0.009282264,0.10991516
ACEI-EUROL-ATF-0009,2025-04,0.04257473,-0.042372413,0.048735984,0.11046678
ACEI-EUROL-ATF-0009,2025-05,0.024787486,-0.06538434,0.023759525,0.13184638
ACEI-EUROL-ATF-0009,2025-06,0.03656237,-0.05403256,0.035850674,0.12215416
ACEI-EUROL-ATF-0010,2025-04,-0.055134717,-0.17994426,-0.02337035,0.07799716
ACEI-EUROL-ATF-0010,2025-05,-0.037014123,-0.13158798,-0.021315105,0.06395734
ACEI-EUROL-ATF-0010,2025-06,-0.029967029,-0.19299515,-0.018137706,0.10159752
ACEI-EUROL-ATF-0011,2025-04,2.802253,-1.9565338,2.6911511,6.4803443
ACEI-EUROL-ATF-0011,2025-05,4.067177,-1.8319379,2.8603818,12.322473
ACEI-EUROL-ATF-0011,2025-06,3.4223533,-2.321767,2.7946196,9.754158
ACEI-EUROL-ATF-0012,2025-04,1.0095453,-0.3932796,0.98947984,2.2808063
ACEI-EUROL-ATF-0012,2025-05,0.3442206,-0.69894856,0.72908103,2.7024715
ACEI-EUROL-ATF-0012,2025-06,-0.013388279,-2.7556345,0.22946605,1.772174
ACEI-EUROL-SINT-0001,2025-04,1.6633955,0.89655244,1.7717987,2.2411554
ACEI-EUROL-SINT-0001,2025-05,3.0202155,2.5556822,3.0515242,3.591819
ACEI-EUROL-SINT-0001,2025-06,0.11408164,-0.2809596,-0.04073627,0.30250043
ACEI-EUROL-SINT-0002,2025-04,4.5031714,-3.7076416,4.2701416,12.168428
ACEI-EUROL-SINT-0002,2025-05,4.890683,-0.7214711,4.0104375,9.915764
ACEI-EUROL-SINT-0002,2025-06,1.1070342,-4.826062,0.4484452,6.7633924
ACEI-EUROL-SINT-0003,2025-04,26.185013,-3.1567614,22.426933,64.41918
ACEI-EUROL-SINT-0003,2025-05,18.981718,-30.086626,23.7389,64.94014
ACEI-EUROL-SINT-0003,2025-06,30.055698,-24.68095,23.087347,60.92611
ACEI-EUROL-SINT-0004,2025-04,-0.16496271,-0.3756756,-0.14715812,0.03528981
ACEI-EUROL-SINT-0004,2025-05,-0.116072305,-0.26178968,-0.10357955,0.051998172
ACEI-EUROL-SINT-0004,2025-06,-0.04845854,-0.18461473,-0.008760971,0.14440387
ACEI-EUROL-SINT-0005,2025-04,13.76083,-2.4077814,13.401378,24.622084
ACEI-EUROL-SINT-0005,2025-05,13.552539,-8.029045,12.775546,38.054787
ACEI-EUROL-SINT-0005,2025-06,7.856756,-3.3121142,9.663899,26.24686
ACEI-EUROL-SINT-0006,2025-04,10.036938,-4.8994246,8.612661,25.002645
ACEI-EUROL-SINT-0006,2025-05,17.803364,-9.07803,10.939947,37.203224
ACEI-EUROL-SINT-0006,2025-06,5.517781,-6.1174445,4.895431,18.53386
ACEI-EUROL-SINT-0009,2025-04,6.79612,-0.6499935,5.851289,13.951075
ACEI-EUROL-SINT-0009,2025-05,0.827737,0.02646721,0.8583686,1.5815021
ACEI-EUROL-SINT-0009,2025-06,-0.14891018,-0.35203752,-0.1769297,0.079126306
ACEI-EUROL-SSINT-0001,2025-04,47.564438,-16.239346,42.662155,110.614655
ACEI-EUROL-SSINT-0001,2025-05,45.277813,-6.2569976,43.867718,87.17891
ACEI-EUROL-SSINT-0001,2025-06,54.26957,-15.029378,52.14253,130.50903
ACEI-EUROL-SSINT-0002,2025-04,21.390512,-15.019769,22.075562,65.027405
ACEI-EUROL-SSINT-0002,2025-05,22.495481,-13.202295,17.703259,62.936752
ACEI-EUROL-SSINT-0002,2025-06,20.553522,-7.18125,19.254263,52.471836
ACEI-EUROL-SSINT-0003,2025-04,0.9247883,-0.04903555,0.9372663,1.9407815
ACEI-EUROL-SSINT-0003,2025-05,0.966761,-0.71382636,1.0378731,3.1372821
ACEI-EUROL-SSINT-0003,2025-06,0.3261934,-0.5301111,0.27176943,1.4692165
ACEI-EUROL-SSINT-0004,2025-04,0.72937536,-1.3164356,0.8847561,2.7202964
ACEI-EUROL-SSINT-0004,2025-05,0.36780697,-0.2559878,0.26906455,1.1044012
ACEI-EUROL-SSINT-0004,2025-06,0.22342975,-0.1266738,0.18176006,0.7877055
ACEI-EUROL-SSINT-0005,2025-04,16.96707,-5.885904,21.11455,45.567986
ACEI-EUROL-SSINT-0005,2025-05,19.230078,-4.6670218,19.52434,47.622684
ACEI-EUROL-SSINT-0005,2025-06,13.529623,-20.728876,17.065073,40.96186
ACEI-EUROL-SSINT-0006,2025-04,12.146442,-2.5999804,11.189123,27.874668
ACEI-EUROL-SSINT-0006,2025-05,17.900017,-2.3581023,13.835108,36.965366
ACEI-EUROL-SSINT-0006,2025-06,9.14472,-7.3995433,8.07282,25.761621
ACEI-EUROL-SSINT-0007,2025-04,0.07123747,0.002684466,0.081585474,0.14191392
ACEI-EUROL-SSINT-0007,2025-05,0.09039115,0.0061943936,0.097155795,0.15286247
ACEI-EUROL-SSINT-0007,2025-06,0.11223508,0.048237342,0.107737675,0.16019984
ACEI-EUROL-SSINT-0008,2025-04,12.433781,-3.973282,14.270954,32.609085
ACEI-EUROL-SSINT-0008,2025-05,16.643387,-3.4601896,17.013777,35.073734
ACEI-EUROL-SSINT-0008,2025-06,14.655401,-2.71441,12.868484,28.840368
ACEI-EUROL-SSINT-0009,2025-04,6.3345723,-1.3995739,5.989109,16.791513
ACEI-EUROL-SSINT-0009,2025-05,6.041914,-2.8865519,7.3540735,17.112188
ACEI-EUROL-SSINT-0009,2025-06,4.7341475,-4.2071953,4.578078,11.7489605
ACEI-EUROL-SSINT-0010,2025-04,0.034581605,-0.045187455,0.036871027,0.123171814
ACEI-EUROL-SSINT-0010,2025-05,0.062715195,-0.086480156,0.039001722,0.11615154
ACEI-EUROL-SSINT-0010,2025-06,0.06537888,-0.05362711,0.041314416,0.20875303
ACEI-EUROL-SSINT-0011,2025-04,11.985307,-22.459618,18.984959,54.49212
ACEI-EUROL-SSINT-0011,2025-05,11.931144,-7.642064,8.487914,45.3633
ACEI-EUROL-SSINT-0011,2025-06,11.625854,0.7880874,4.630677,31.42108
ACEI-EUROL-SSINT-0012,2025-04,20.848167,-17.62294,18.828947,54.874393
ACEI-EUROL-SSINT-0012,2025-05,19.701567,-4.859095,18.661953,47.996616
ACEI-EUROL-SSINT-0012,2025-06,18.298262,-7.189618,19.005346,57.845364
ACEI-EUROL-SSINT-0013,2025-04,3.6211762,-0.77372885,3.2658842,9.110363
ACEI-EUROL-SSINT-0013,2025-05,2.5767448,-5.623197,3.2824843,10.491855
ACEI-EUROL-SSINT-0013,2025-06,1.8023094,-2.1592023,2.1549153,6.2881083
ACEI-EUROL-SSINT-0015,2025-04,8.270937,-3.1866045,8.422717,21.806377
ACEI-EUROL-SSINT-0015,2025-05,6.31791,-3.7989857,5.891912,22.633438
ACEI-EUROL-SSINT-0015,2025-06,9.947608,-1.8910618,6.7554345,27.315245
ACEI-EUROL-SSINT-0016,2025-04,9.9949465,-6.0775795,8.423841,22.46177
ACEI-EUROL-SSINT-0016,2025-05,6.345334,-2.1528392,7.223617,24.122206
ACEI-EUROL-SSINT-0016,2025-06,5.6500897,-2.5421083,3.1049852,17.418962
ACEI-EUROL-SSINT-0017,2025-04,0.046737514,-0.07105726,0.022128996,0.16462077
ACEI-EUROL-SSINT-0017,2025-05,0.011714294,-0.08737414,0.018110301,0.10746226
ACEI-EUROL-SSINT-0017,2025-06,0.026853794,-0.06951136,0.03760518,0.118623696
ACEI-EUROL-SSINT-0018,2025-04,2.4527166,-3.6246893,3.4900668,9.501782
