Codigo,Descripcion,No. Fabricante,In Stock,Pedido,Total,Tipo,Mes_1,Mes_2,Mes_3,Mes_4,Mes_5,Mes_6,Mes_7,Mes_8,Mes_9,Mes_10,Mes_11,Mes_12,Demanda 4 meses,Demanda 5 meses,Demanda 6 meses,Pedido Sugerido 4 meses,Pedido Sugerido 5 meses,Pedido Sugerido 6 meses
ACEI-EIFFEL-SINT-0011,ACEITE 5W30 LTS GASO. F/SINT/ OPERA ULTIMATE EIFFEL,0.0,0.0,0.0,,INVENTARIO,610.0,586.0,586.0,574.0,562.0,550.0,539.0,518.0,493.0,461.0,393.0,393.0,34.4649815,55.92138349999999,55.92181591683,,,
ACEI-EIFFEL-SINT-0012,ACEITE 10W30 LTS F/SINT/PRESTI ULTIMATE EIFFEL,,1566.0,0.0,1420.0,VENTA,12.0,33.0,0.0,12.0,0.0,12.0,0.0,12.0,0.0,31.0,12.0,0.0,23.9998510944,27.9539125944,29.6593995944,0.0,0.0,0.0
ACEI-EIFFEL-SINT-0012,ACEITE 10W30 LTS F/SINT/PRESTI ULTIMATE EIFFEL,0.0,0.0,0.0,,INVENTARIO,1662.0,1634.0,1647.0,1635.0,1635.0,1621.0,1621.0,1609.0,1609.0,1578.0,1566.0,1566.0,23.9998510944,27.9539125944,29.6593995944,,,
ACEI-EIFFEL-SINT-0013,ACEITE 10W30 GARRAFA GASO. F/SINT/PRESTI ULTIMATE EIFFEL,,204.0,0.0,95.0,VENTA,19.0,9.0,1.0,2.0,0.0,16.0,1.0,1.0,5.0,32.0,14.0,0.0,16.6490087,23.7821067,30.915204700000004,0.0,0.0,0.0
ACEI-EIFFEL-SINT-0013,ACEITE 10W30 GARRAFA GASO. F/SINT/PRESTI ULTIMATE EIFFEL,0.0,0.0,0.0,,INVENTARIO,281.0,272.0,277.0,275.0,275.0,259.0,257.0,256.0,250.0,218.0,204.0,204.0,16.6490087,23.7821067,30.915204700000004,,,
ACEI-EIFFEL-SINT-0014,ACEITE 5W20 LITS F/SINT/OPERA ULTIMATE EIFFEL,,317.0,0.0,214.0,VENTA,24.0,24.0,0.0,17.0,12.0,18.0,17.0,9.0,29.0,20.0,85.0,0.0,46.9998914297,70.9982494297,89.1903764297,0.0,0.0,0.0
ACEI-EIFFEL-SINT-0014,ACEITE 5W20 LITS F/SINT/OPERA ULTIMATE EIFFEL,0.0,0.0,0.0,,INVENTARIO,548.0,524.0,524.0,507.0,495.0,476.0,459.0,450.0,422.0,402.0,317.0,317.0,46.9998914297,70.9982494297,89.1903764297,,,
ACEI-EIFFEL-SINT-0015,ACEITE 5W40 LTS F/SINT/OPERA ULTIMATE EIFFEL,,586.0,0.0,502.0,VENTA,0.0,24.0,0.0,0.0,0.0,0.0,0.0,-18.0,13.0,8.0,10.0,0.0,0.00048746052,6.216680460519998,6.540626400519998,0.0,0.0,0.0
ACEI-EIFFEL-SINT-0015,ACEITE 5W40 LTS F/SINT/OPERA ULTIMATE EIFFEL,0.0,0.0,0.0,,INVENTARIO,624.0,600.0,599.0,599.0,599.0,599.0,599.0,617.0,604.0,596.0,586.0,586.0,0.00048746052,6.216680460519998,6.540626400519998,,,
ACEI-EIFFEL-SINT-0017,ACEITE SEA 50 1 LT DIESEL EIFFEL,,1185.0,0.0,2449.0,VENTA,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12.0,3.0,0.0,9.478834e-05,0.000118485425,0.00014218251,0.0,0.0,0.0
ACEI-EIFFEL-SINT-0017,ACEITE SEA 50 1 LT DIESEL EIFFEL,0.0,0.0,0.0,,INVENTARIO,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1200.0,1200.0,1188.0,1185.0,1185.0,9.478834e-05,0.000118485425,0.00014218251,,,
