nombrellanta,fecha,prediccion_6_meses,prediccion_5_meses,prediccion_4_meses
LLA-RACR-SUVAT-0010,2025-12-01,0.0,0.0,0.0
LLA-RACR-SUVAT-0012,2025-12-01,0.0,0.0,0.0
LLA-RACR-SUVAT-0015,2025-12-01,0.0,0.0,0.0
LLA-RACR-SUVAT-0019,2025-12-01,0.0,0.0,0.0
LLA-RACR-SUVAT-0021,2025-12-01,0.0,0.0,0.0
LLA-RACR-SUVAT-0022,2025-12-01,0.0030938675600000005,0.00120669986,0.0013669848799999999
LLA-RSHI-TBRAT-0001,2025-12-01,0.0,0.0,0.0
LLA-RSHI-TBRAT-0006,2025-12-01,0.0,0.0,0.0
LLA-RSHI-TBRHR-0003,2025-12-01,0.0,0.0,0.0
LLA-RSHI-TBRHR-0006,2025-12-01,0.0,0.0,0.0
LLA-RSHI-TBRHR-0009,2025-12-01,0.0,0.0,0.0
LLA-SAIL-LTRAT-0001,2025-12-01,194.75069055699998,115.751910557,83.960091557
LLA-SAIL-LTRAT-0002,2025-12-01,0.0,0.0,0.0
LLA-SAIL-LTRAT-0003,2025-12-01,0.0009003627599999998,0.0007503022999999999,0.00060024184
LLA-SAIL-LTRAT-0004,2025-12-01,63.999103430000005,30.000545429999995,4.00078043
LLA-SAIL-LTRAT-0005,2025-12-01,9.658384101500001,7.7251890014999995,5.7919939015
LLA-SAIL-LTRAT-0006,2025-12-01,0.0,0.0,0.0
LLA-SAIL-LTRAT-0007,2025-12-01,8.005137437919998,6.003557637919999,4.001977837919999
LLA-SAIL-LTRAT-0022,2025-12-01,3.99897271783,3.99880151142,3.9986303050100003
LLA-SAIL-LTRAT-0023,2025-12-01,0.0010272384599999999,0.00085603205,0.00068482564
LLA-SAIL-LTRAT-0024,2025-12-01,0.00087061284,0.0007255107,0.00058040856
LLA-SAIL-LTRHR-0001,2025-12-01,1.99932631666,1.9989937778399998,1.9986612390199998
LLA-SAIL-LTRHR-0002,2025-12-01,1.9986433254699996,1.9984172147599997,0.00092741476
LLA-SAIL-LTRHR-0003,2025-12-01,40.0782869087,36.9523547087,37.999143708700004
LLA-SAIL-LTRHR-0004,2025-12-01,3.999809611680001,3.9993846256800007,0.00173642568
LLA-SAIL-LTRHR-0005,2025-12-01,23.9890517,19.989966,15.9919728
LLA-SAIL-LTRHR-0006,2025-12-01,0.0,0.0,0.0
LLA-SAIL-LTRHR-0007,2025-12-01,0.0,0.0,0.0
LLA-SAIL-LTRHR-0008,2025-12-01,26.50068898303,26.50057872202,26.500468461009998
LLA-SAIL-LTRHR-0009,2025-12-01,0.0272787606,0.022105545900000002,0.016932331199999998
LLA-SAIL-LTRHR-0010,2025-12-01,2.99851049498,2.9982622508000003,0.0010000508
LLA-SAIL-LTRHR-0012,2025-12-01,0.0008630736600000001,0.00071922805,0.00057538244
LLA-SAIL-LTRHR-0013,2025-12-01,98.99847359999998,93.99832099999999,75.998391
LLA-SAIL-LTRHR-0014,2025-12-01,0.0,0.0,0.0
LLA-SAIL-LTRHR-0015,2025-12-01,96.691872,75.694683,54.696546
LLA-SAIL-LTRHR-0017,2025-12-01,0.0,0.0,0.0
LLA-SAIL-LTRHR-0018,2025-12-01,24.00000002459,23.99950869466,23.99901736473
LLA-SAIL-LTRHR-0019,2025-12-01,0.0,0.0,0.0
LLA-SAIL-LTRHR-0020,2025-12-01,8.99855761487,8.9983172163,5.0003552163
LLA-SAIL-LTRHR-0021,2025-12-01,0.0,0.0,0.0
LLA-SAIL-LTRHR-0022,2025-12-01,3.99897271783,3.99880151142,3.9986303050100003
LLA-SAIL-LTRHR-0023,2025-12-01,30.280016030000002,27.282164230000003,16.06921023
LLA-SAIL-LTRHR-0024,2025-12-01,0.0006344966999999999,0.00052874725,0.0004229978
LLA-SAIL-LTRHR-0025,2025-12-01,0.00119652444,0.0009971037,0.00079768296
LLA-SAIL-LTRHR-0026,2025-12-01,5.996376778500001,3.9978841785,1.9993915785
LLA-SAIL-LTRHR-0027,2025-12-01,266.94653,232.95442300000002,171.988923
LLA-SAIL-LTRHR-0028,2025-12-01,203.986896,169.989353,135.99181
LLA-SAIL-LTRHR-0029,2025-12-01,0.0,0.0,0.0
LLA-SAIL-LTRHR-0030,2025-12-01,11.998632345189998,11.998404324799997,0.0009263248
LLA-SAIL-LTRHR-0031,2025-12-01,0.0,0.0,0.0
LLA-SAIL-LTRHR-0032,2025-12-01,0.00086684682,0.00072237235,0.00057789788
LLA-SAIL-LTRHR-0033,2025-12-01,0.5507432879999999,0.5513729519999999,0.003467352
LLA-SAIL-LTRHR-0034,2025-12-01,6.99816341178,6.9979856714,5.9981358114
LLA-SAIL-LTRHR-0035,2025-12-01,78.934932320394,78.934906213596,78.934880106798
LLA-SAIL-LTRHR-0036,2025-12-01,142.85987,114.861102,89.143159
LLA-SAIL-LTRHR-0037,2025-12-01,15.99843519128,15.99817438784,0.00104588784
LLA-SAIL-LTRHR-0038,2025-12-01,15.99867752371,15.998457191460002,11.99955609146
LLA-SAIL-LTRHR-0039,2025-12-01,49.997014274600005,49.996658516400004,49.9963027582
LLA-SAIL-LTRHR-0040,2025-12-01,0.0013293903,0.00110782525,0.0008862602
LLA-SAIL-LTRHR-0041,2025-12-01,7.9987273969400015,7.998515323190001,7.998303249440001
LLA-SAIL-LTRHT-0001,2025-12-01,4.021877879240002,3.9986290822399995,0.00148958224
LLA-SAIL-PCR-0005,2025-12-01,0.0,0.0,0.0
LLA-SAIL-PCR-0006,2025-12-01,7.998234793500002,0.0014727935000000002,0.0011782348
LLA-SAIL-PCR-0007,2025-12-01,11.639901032650002,7.819428332649999,3.9989556326500004
LLA-SAIL-PCR-0010,2025-12-01,0.0,0.0,0.0
